category,description_length,delivery_time,price
Development,150,7,500
Design,120,3,200
Marketing,180,5,350
Development,200,14,800
Writing,100,2,80
Writing,130,3,150
Marketing,160,7,400
Writing,140,1,100
Design,110,1,600
Development,250,10,900
Marketing,170,5,300
Video,145,4,250
Marketing,135,3,200
Writing,125,1,50
Development,190,5,450
Development,220,14,1200
Development,240,10,700
Development,280,21,1500
Writing,95,1,30
Development,200,7,950
Development,210,10,650
Marketing,150,7,400
Development,300,21,2000
Writing,180,3,350
Development,260,14,1100
Development,140,5,400
Design,100,2,150
Marketing,160,5,320
Development,220,21,1200
Writing,110,3,100
Writing,140,5,180
Marketing,170,10,500
Writing,130,1,90
Design,105,1,550
Development,230,14,850
Marketing,175,7,380
Video,155,5,280
Marketing,145,4,220
Writing,120,1,45
Development,200,7,520
Development,240,21,1400
Development,250,14,800
Development,290,28,1800
Writing,90,1,25
Development,210,10,1000
Development,200,14,700
Marketing,165,10,450
Development,320,28,2200
Writing,190,5,400
Development,270,21,1300
Development,180,7,600
Design,130,3,250
Marketing,155,5,380
Development,210,10,850
Writing,115,2,90
Video,160,5,320
Design,95,2,180
Marketing,190,7,420
Development,240,14,950
Video,140,3,270
Design,125,3,220
Marketing,145,5,330
Writing,105,3,110
Development,260,21,1600
Design,110,2,190
Video,175,7,400
Marketing,170,10,480
Writing,135,2,120
Development,195,7,680
Design,115,3,210
Video,150,4,300
Marketing,160,7,390
Development,225,14,1050
Writing,125,3,140
Design,120,2,200
Video,165,5,340
Marketing,175,10,460
Development,280,21,1700
Writing,100,1,70
Design,105,2,170
Video,155,6,330
Marketing,185,7,410
Development,215,14,920
Writing,130,2,130
Design,125,3,230
Video,145,4,280
Marketing,165,5,360
Development,250,21,1450
Writing,110,3,100
Design,115,2,195
Video,170,7,380
Marketing,180,10,490
Development,235,14,1100
Writing,120,2,110
Design,130,3,240
Video,160,5,310
Marketing,175,7,400
Development,265,21,1550
Development,350,7,750
Development,380,14,1050
Development,400,21,1400
Development,420,28,1800
Development,450,7,850
Development,480,14,1200
Development,320,5,600
Development,360,10,950
Development,300,3,480
Design,350,5,420
Design,380,7,550
Design,400,3,380
Design,420,10,620
Design,450,5,480
Design,300,2,280
Design,320,7,500
Marketing,350,7,520
Marketing,380,10,600
Marketing,400,14,700
Marketing,420,7,580
Marketing,450,14,750
Marketing,300,5,400
Marketing,320,10,550
Writing,350,5,280
Writing,380,7,350
Writing,400,3,260
Writing,420,5,310
Writing,450,7,380
Writing,300,3,200
Writing,320,5,250
Video,350,7,520
Video,380,10,620
Video,400,5,480
Video,420,14,700
Video,450,7,560
Video,300,5,380
Video,320,7,440
Development,500,28,2200
Development,480,21,1900
Design,480,14,750
Marketing,480,21,900
Writing,480,10,450
Video,480,21,850
Development,250,7,650
Development,200,3,420
Design,200,5,300
Marketing,200,7,450
Writing,200,3,150
Video,200,5,380
Development,150,1,250
Development,100,1,180
Design,80,1,120
Marketing,100,2,150
Writing,80,1,60
Video,100,2,200
